Year,Month,Average Weekday Trips,Average Saturday Trips,Average Sunday Trips
2015,6,267048,116406,97617
2015,2,245222,94726,69433
2015,9,269025,124025,95915
2015,8,259288,119474,95663
2015,11,267998,113949,92873
2015,3,250436,107723,80341
2015,4,258345,122703,89890
2015,1,227560,88875,65718
2015,12,246573,124602,97188
2015,5,264326,119435,95415
2015,7,261749,121592,91506
2015,10,271211,121593,92086
2014,6,259002,112600,91968
2014,3,248144,110695,73948
2014,5,255504,109887,87474
2014,2,232971,109725,78635
2014,9,258143,110300,82503
2014,10,262366,105930,85194
2014,11,253301,100327,79008
2014,1,231429,91282,72754
2014,4,252177,112766,83096
2014,7,258041,110719,80839
2014,12,236509,117210,85523
2014,8,250156,104511,83147
2013,3,235594,118285,79938
2013,9,256738,125779,95327
2013,11,252002,113493,82786
2013,5,249223,111033,92733
2013,7,250020,114977,87679
2013,4,246689,122783,88547
2013,2,233634,83689,69423
2013,12,233064,126161,85239
2013,6,252260,121762,97890
2013,10,259233,125494,93499
2013,1,217197,81711,61876
2013,8,245527,120759,94319
2012,1,245473,107203,79165
2012,12,185834,77424,61082
2012,3,269793,129974,91947
2012,4,260699,132474,88181
2012,6,264729,126449,105328
2012,8,256135,124030,100598
2012,2,261474,114891,86594
2012,5,261148,129282,99552
2012,7,265126,124534,97788
2012,11,121710,49612,36468
2012,9,267481,131998,103752
2012,10,233819,137720,92074
2011,5,257067,120764,92422
2011,12,245620,135026,101616
2011,2,249812,106615,84040
2011,4,255958,118432,90208
2011,7,260760,123657,92476
2011,9,263276,130123,100011
2011,1,233687,99668,76760
2011,3,255001,136644,83538
2011,11,264057,123234,95457
2011,8,253334,98045,62322
2011,10,269105,123130,100203
2011,6,265545,128296,104167
2010,10,261005,128413,100314
2010,11,255935,120047,90011
2010,2,227278,98249,78894
2010,7,253153,113424,98705
2010,3,245247,127399,80390
2010,6,254799,122276,94257
2010,4,248379,120620,82584
2010,12,226778,135300,81535
2010,1,236942,97228,67568
2010,9,255366,126249,94547
2010,5,249795,121561,92630
2010,8,247642,123899,88645
2009,6,245069,111209,92150
2009,8,237543,108524,85282
2009,12,232699,101766,83431
2009,2,245971,107609,79524
2009,3,244049,125257,77258
2009,7,244323,117285,88297
2009,4,243580,116011,87693
2009,1,237641,93802,68951
2009,10,249835,113373,86832
2009,9,246956,114436,90203
2009,5,244205,110632,83285
2009,11,250266,109291,89116
2008,7,259575,110751,86986
2008,2,246334,100670,75110
2008,9,260384,109836,88276
2008,1,241951,99235,70768
2008,4,255987,117631,80598
2008,5,254989,113683,90551
2008,8,252430,118364,95810
2008,6,259752,118554,91660
2008,10,260659,117083,89883
2008,3,249977,112355,77552
2008,12,235603,114746,84490
2008,11,254777,109518,80642
2007,11,249638,107059,88638
2007,10,256053,113290,87586
2007,12,232220,117363,77576
2007,6,249606,111681,89376
2007,8,241638,110079,84844
2007,1,229700,95844,68643
2007,5,245044,110349,84684
2007,2,229594,94335,67784
2007,4,235083,111836,71894
2007,9,254124,112591,89869
2007,7,245724,110895,81560
2007,3,235968,109380,73284
2006,4,220328,97856,73620
2006,12,227623,114936,89930
2006,7,225504,98518,76881
2006,5,228217,105636,80740
2006,9,233259,99389,84260
2006,3,222081,104351,67545
2006,11,238040,110234,80090
2006,8,225241,100514,75649
2006,6,231546,95681,82910
2006,2,219429,89256,56117
2006,1,212746,82453,60693
2006,10,238715,100677,78676
2005,1,193522,71220,53303
2005,6,211199,94721,76908
2005,4,209008,86284,64892
2005,5,206201,92896,70702
2005,3,193516,89088,57685
2005,10,212579,90173,70018
2005,8,202989,87202,65965
2005,12,216273,93052,62640
2005,7,207674,93631,73859
2005,9,211559,95427,74779
2005,11,215115,93838,71610
2005,2,196499,86386,65767
2004,4,190263,96222,64910
2004,3,189097,91208,64254
2004,5,194556,91377,67675
2004,8,192886,86926,69522
2004,11,196542,89946,64852
2004,1,177570,74050,49634
2004,2,191291,88649,60970
2004,9,200209,86290,71098
2004,6,199902,90659,74653
2004,10,200575,90672,69064
2004,7,195926,88593,68117
2004,12,193804,105516,71552
2003,7,159151,78959,59233
2003,6,161773,75878,63435
2003,10,160130,81679,60482
2003,9,159573,80677,63307
2003,8,144250,73561,60693
2003,12,176505,87730,62313
2003,2,160867,71921,52513
2003,11,163070,86242,62725
2003,4,157178,76129,59661
2003,1,160048,71488,51824
2003,5,157661,75650,59529
2003,3,160269,84040,57064
2002,7,169371,80263,60934
2002,10,170083,80731,63646
2002,3,177386,89899,57979
2002,5,176502,81898,62811
2002,4,182462,86839,60076
2002,8,168532,78131,64622
2002,6,175940,83420,66756
2002,1,181507,77547,54022
2002,9,176328,89599,63358
2002,11,168713,83538,61843
2002,12,161982,90845,67300
2002,2,179839,83041,57610
2001,10,211462,89945,66140
2001,11,199402,85271,63770
2001,5,260982,99179,76338
2001,4,259015,105199,72270
2001,12,183917,92960,66571
2001,3,260170,108856,71413
2001,8,250885,97968,74795
2001,1,258328,92091,64854
2001,9,216737,93762,72466
2001,7,254760,101620,72905
2001,2,259913,99074,64644
2001,6,262492,95778,78725
2000,2,244019,93136,65227
2000,5,257985,97440,75643
2000,10,270971,112181,78463
2000,4,250698,100146,67409
2000,3,241353,90713,66365
2000,1,232710,85384,60462
2000,6,260820,102604,77873
2000,12,256185,97987,74820
2000,8,253989,102662,76739
2000,9,267337,105997,80405
2000,7,250338,100715,73557
2000,11,267935,105982,72218
1999,8,227248,87304,66781
1999,12,239338,111558,76761
1999,7,230528,87555,66150
1999,9,230965,98282,71785
1999,4,228388,94802,62082
1999,2,227587,90325,59836
1999,1,224427,80197,53284
1999,10,243711,100763,72059
1999,3,229146,92380,58912
1999,5,230310,94283,66434
1999,11,240399,102222,70453
1999,6,232678,92071,73418
1998,3,220777,85932,54560
1998,8,220184,89502,65382
1998,4,217516,87994,55730
1998,1,215771,86249,51605
1998,6,224906,85918,66304
1998,10,233840,96860,67556
1998,5,221771,87241,58764
1998,2,221980,86202,54270
1998,7,219622,90503,62764
1998,12,227822,102575,70434
1998,11,228110,95202,63961
1998,9,226208,96022,66595
1997,7,212832,81549,59179
1997,5,214875,81697,56232
1997,9,222101,88965,60183
1997,2,213598,74660,50043
1997,3,211908,77759,52655
1997,4,215443,80125,54418
1997,8,211397,82524,59602
1997,6,216958,87359,63199
1997,11,216657,82675,56311
1997,12,215983,94331,64937
1997,10,221156,87409,59154
1997,1,208972,72018,45966
1996,9,211742,86269,54823
1996,10,217777,75593,54988
1996,2,213150,69776,45744
1996,8,202663,78332,58875
1996,3,213103,78064,50714
1996,5,214438,77823,54175
1996,1,199251,64874,42937
1996,11,211367,87756,55178
1996,4,213172,79881,50651
1996,7,204589,71290,55512
1996,6,212207,78067,55503
1996,12,207990,83556,57494
